<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
GAZP	60	20201012	130000	169.0400000	169.8000000	168.7700000	168.9800000	6.102.880
GAZP	60	20201012	140000	169.0100000	169.4400000	168.8100000	169.2900000	2.224.230
GAZP	60	20201012	150000	169.2900000	169.4300000	168.8300000	168.9900000	2.073.210
GAZP	60	20201012	160000	168.9300000	169.0900000	168.4000000	169.0900000	1.954.880
GAZP	60	20201012	170000	169.0600000	169.1000000	168.3300000	168.6100000	2.616.070
GAZP	60	20201012	180000	168.5700000	169.1200000	168.4500000	168.7900000	2.172.920
GAZP	60	20201012	190000	168.7900000	169.0000000	168.5300000	169.0000000	2.642.240
GAZP	60	20201012	200000	169.0000000	169.3500000	168.7400000	168.9200000	504.330
GAZP	60	20201012	210000	168.9200000	169.1000000	168.8000000	168.9500000	241.910
GAZP	60	20201012	220000	168.9500000	169.0500000	168.9100000	168.9700000	155.540
GAZP	60	20201012	230000	168.9700000	169.0500000	168.9000000	169.0200000	210.080
GAZP	60	20201013	000000	169.0200000	169.1000000	168.9400000	169.0500000	274.910
GAZP	60	20201013	110000	169.1300000	169.3100000	167.7100000	168.1600000	4.135.330
GAZP	60	20201013	120000	168.1500000	169.4700000	168.0700000	169.1900000	3.018.740
GAZP	60	20201013	130000	169.1900000	169.2900000	168.8000000	168.9900000	2.126.100
GAZP	60	20201013	140000	169.0100000	169.1000000	168.5100000	168.7600000	1.449.660
GAZP	60	20201013	150000	168.8000000	168.9100000	168.1000000	168.2200000	1.662.570
GAZP	60	20201013	160000	168.2200000	168.4800000	167.6400000	167.7700000	2.835.180
GAZP	60	20201013	170000	167.7500000	168.0900000	167.0000000	167.2000000	5.894.790
GAZP	60	20201013	180000	167.1900000	167.4800000	166.4000000	166.5000000	4.951.920
GAZP	60	20201013	190000	166.5000000	166.5700000	165.8200000	166.0000000	6.703.170
GAZP	60	20201013	200000	166.3000000	166.4400000	166.0300000	166.4300000	419.130
GAZP	60	20201013	210000	166.4300000	166.5700000	166.3000000	166.3800000	526.130
GAZP	60	20201013	220000	166.3800000	166.4500000	166.1600000	166.3100000	346.910
GAZP	60	20201013	230000	166.3100000	166.5900000	166.2800000	166.5500000	241.700
GAZP	60	20201014	000000	166.5500000	166.6000000	166.3400000	166.3700000	376.660
GAZP	60	20201014	110000	166.6100000	167.0800000	165.7100000	166.8200000	5.373.490
GAZP	60	20201014	120000	166.8600000	167.6300000	166.6400000	167.2800000	3.228.210
GAZP	60	20201014	130000	167.3000000	167.4200000	166.6300000	166.7800000	2.079.450
GAZP	60	20201014	140000	166.7800000	167.1700000	166.2200000	166.5600000	2.210.030
GAZP	60	20201014	150000	166.5600000	166.9100000	166.3300000	166.6500000	1.368.520
GAZP	60	20201014	160000	166.6600000	167.2900000	166.6400000	167.2400000	1.676.160
GAZP	60	20201014	170000	167.2400000	167.5800000	166.9300000	167.0200000	3.142.610
GAZP	60	20201014	180000	167.0000000	167.0400000	166.3300000	166.6800000	3.394.270
GAZP	60	20201014	190000	166.6900000	167.2900000	166.5000000	167.2900000	2.956.360
GAZP	60	20201014	200000	167.2100000	167.2400000	166.8400000	167.1000000	377.240
GAZP	60	20201014	210000	167.1000000	167.1200000	167.0000000	167.0900000	173.870
GAZP	60	20201014	220000	167.0900000	167.2700000	167.0000000	167.1200000	232.880
GAZP	60	20201014	230000	167.1100000	167.3000000	167.0500000	167.2200000	281.260
GAZP	60	20201015	000000	167.2600000	167.3500000	167.1700000	167.2400000	185.390
GAZP	60	20201015	110000	166.8500000	168.8500000	166.5600000	167.8400000	8.504.650
GAZP	60	20201015	120000	167.8800000	168.2000000	167.5200000	168.0600000	3.494.520
GAZP	60	20201015	130000	168.0700000	168.1300000	167.5500000	167.8500000	3.445.610
GAZP	60	20201015	140000	167.8900000	167.9500000	167.0100000	167.4500000	2.721.820
GAZP	60	20201015	150000	167.4500000	167.5600000	166.3100000	166.5100000	3.049.440
GAZP	60	20201015	160000	166.5100000	166.9300000	166.2700000	166.5500000	2.230.800
GAZP	60	20201015	170000	166.5500000	166.5500000	166.0100000	166.2600000	4.124.630
GAZP	60	20201015	180000	166.2600000	166.6000000	166.0000000	166.0100000	4.966.830
GAZP	60	20201015	190000	166.0100000	166.9900000	166.0100000	166.9900000	5.038.990
GAZP	60	20201015	200000	166.8100000	166.9000000	166.5700000	166.7400000	511.070
GAZP	60	20201015	210000	166.7400000	166.9700000	166.3500000	166.8600000	588.840
GAZP	60	20201015	220000	166.8600000	166.9300000	166.6200000	166.9000000	225.130
GAZP	60	20201015	230000	166.9000000	167.8500000	166.8600000	167.3800000	779.680
GAZP	60	20201016	000000	167.3800000	167.4900000	167.0100000	167.1600000	207.400
GAZP	60	20201016	110000	167.2200000	167.2500000	164.1600000	165.1800000	12.608.590
GAZP	60	20201016	120000	165.2000000	165.3000000	164.5000000	164.8000000	4.319.860
GAZP	60	20201016	130000	164.8100000	164.8400000	163.5600000	163.8500000	8.533.130
GAZP	60	20201016	140000	163.8800000	164.6500000	163.6000000	164.4800000	2.870.790
GAZP	60	20201016	150000	164.4800000	164.5800000	164.2100000	164.3700000	1.043.890
GAZP	60	20201016	160000	164.3500000	165.1600000	164.2700000	164.8800000	3.326.660
GAZP	60	20201016	170000	164.9400000	165.1000000	164.1300000	164.2900000	3.384.150
GAZP	60	20201016	180000	164.2900000	164.4400000	163.7900000	164.2500000	5.800.000
GAZP	60	20201016	190000	164.2500000	164.3400000	163.6100000	163.8000000	6.211.960
GAZP	60	20201016	200000	163.9500000	164.0100000	163.7500000	163.9200000	420.940
GAZP	60	20201016	210000	163.9300000	164.0800000	163.8100000	163.8900000	425.250
GAZP	60	20201016	220000	163.8900000	164.0400000	163.8900000	163.9800000	307.310
GAZP	60	20201016	230000	163.9800000	164.0000000	163.7600000	163.8000000	498.620
GAZP	60	20201017	000000	163.8900000	163.9900000	163.8000000	163.9800000	651.660
